产品网址：https://www.radiosky.com.cn/chanpinyanfadetail.aspx?id=9
产品结构：root->产品中心--天维讯达（北京）科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|EMC 自动测试系统|无|无|
|面向运营商的测试系统|无|无|
|辐射演示仪|无|无|
|无源器件测试系统|无|无|
|运营商终端性能测试平台|无|无|
|无线电设备射频测试系统|无|无|
|DFS 自动测试系统|无|无|
|GSM 终端自动测试系统|无|无|
|LTE 终端自动测试系统|无|无|
|WLAN/BT 自动测试系统|无|无|
|WCDMA 终端自动测试系统|无|无|
|数字对讲机 TETRA 测试系统|无|无|
|CDMA2000 终端自动测试系统|无|无|
|TD-SCDMA 终端自动测试系统|无|无|
|在用无线电设备测试系统|无|无|
|R-LIMP 实验室综合管理平台|无|无|
|TMP2000 考试无线电保障平台|无|无|
|PDR1001A 便携式专网信号解析仪|无|无|
|SDR2000 专网无线通信管控平台|无|无|
|黑广播智能监测定位平台|无|无|
