产品网址：https://hawdar.com/index.php?id=154
产品结构：首页->产品中心->LNAs->L频段-LNA->L波段低噪放-

|产品名称|产品型号|功能描述|
|----|----|----|
|L 波段低噪放|LNA-L50CN|极低噪声温度，扩展频率定制，功耗低，性价比高，便于安装易于维护，可选 1:1 或 1:2 冗余备份功能、LNA 电源监控、过载保护、限幅保护功能|

参数,性能
工作频率,950-2150MHz  （其他频段可定制）
噪声温度,50K
增益,30dB  或  50dB  （其他增益可定制）
幅频特性,≤±  1.5dBp-p
工作温度范围内增益变化,≤±  1.5dB
恒定温度下的增益稳定度,±0.1 dB/  小时
恒定温度下的增益稳定度,±0.2 dB/24  小时
P1dB  输出功率,≥10dBm
最大不损坏  输入功率,0dBm
杂散,≤  -60dBc
输入  /  输出驻波比,1.5/1.5
工作电压  /  电流,+15VDC (DC 12V  ～  18V)  ，约  80mA
外形尺寸  /  重量,137mm×53mm×26mm  ，≤  470g
接口,输入：  N-50K  （或  N-50J  、  SMA-50J  、  SMA-50K  可选）
接口,输出：  N-50K  （或  SMA-50K  可选）
接口,供电：  SMA-K  （或航空插头可选）
工作温度,-40  ℃～  +60  ℃
工作湿度,5%  ～  100%
